MOVEMENT_ID,mean_coordinate
186,[-118.17330637   34.01074754]
187,[-118.14504904   34.00456696]
188,[-118.14550397   33.98083522]
189,[-118.17266491   34.00047409]
190,[-118.1663636    33.98261785]
191,[-118.2551847    33.89783307]
192,[-118.25281443   33.90694   ]
193,[-118.24103412   33.91210656]
194,[-118.22042857   33.91265708]
195,[-118.21213584   33.90748535]
196,[-118.20835117   33.89941431]
197,[-118.21965617   33.90062383]
198,[-118.1953505    33.90889669]
199,[-118.18866271   33.90615029]
200,[-118.202115     33.90502616]
201,[-118.1955246    33.90533184]
202,[-118.19085855   33.90208542]
203,[-118.199254     33.89451779]
204,[-118.18678248   33.89182267]
205,[-118.1956265    33.88616168]
206,[-118.21159195   33.89265449]
207,[-118.21193295   33.87991864]
208,[-118.23805984   33.89270134]
209,[-118.22709722   33.89274357]
210,[-118.22586942   33.9064704 ]
211,[-118.22446073   33.900328  ]
212,[-118.23738959   33.90151074]
213,[-118.24779878   33.90104986]
214,[-118.24448869   33.89192405]
215,[-118.25668543   33.89144991]
216,[-118.25247048   33.88428826]
217,[-118.23340957   33.88520665]
218,[-118.22918279   33.87801358]
219,[-118.22586418   33.86981731]
220,[-118.2422283    33.87054995]
221,[-117.8636981    34.07704484]
222,[-117.85758971   34.08924029]
223,[-117.84833259   34.09296071]
224,[-117.87527188   34.0965888 ]
225,[-117.87135804   34.08734541]
226,[-117.87443279   34.10375105]
227,[-117.84973169   34.10262559]
228,[-117.926005     34.08839654]
229,[-117.91190205   34.0846832 ]
230,[-117.9212969    34.09013827]
231,[-117.91215793   34.09201265]
232,[-117.9079304   34.1044612]
233,[-117.89147567   34.10230907]
234,[-117.902718     34.09026225]
235,[-117.89096249   34.09025916]
236,[-117.89010998   34.08262428]
237,[-117.89564307   34.07637   ]
238,[-118.17030909   33.9596262 ]
239,[-118.18567866   33.96097972]
240,[-118.17575803   33.95913419]
241,[-118.1972164    33.96874424]
242,[-118.19051745   33.96681149]
243,[-118.18324433   33.96578496]
244,[-118.174896     33.96558757]
245,[-118.38400177   34.02374856]
246,[-118.39567352   34.0145972 ]
247,[-118.38436987   34.01490729]
248,[-118.39703911   33.99670713]
249,[-118.4021854    34.00564988]
250,[-118.4087274    34.01123866]
251,[-118.41596144   34.00515495]
252,[-118.42963356   33.99700049]
253,[-118.38969852   33.98649219]
254,[-117.85365933   33.99970961]
255,[-117.84879976   33.99119616]
256,[-117.84988167   33.97635121]
257,[-117.8296952    34.01084702]
